sub_sport_category,description,reference_website,level
Standard Baseball,"There are two teams, nine players in each, and they take turns in batting and fielding. Batting is done by the offense team and the fielding is played by the defense team.","https://www.topendsports.com/sport/list/baseball.htm",2
Baseball5,"a five-on-five, five-inning street version of the game of baseball/softball that can be played anywhere.","https://www.topendsports.com/sport/list/baseball5.htm",2
T-Ball,"an introductory sport for younger kids to baseball and softball, with the ball hit off a stationary tee.","https://www.topendsports.com/sport/list/t-ball.htm",2
Corkball,"a sport derived from baseball with a smaller ball that can be played on a much smaller field (often referred to as mini-baseball)","https://www.topendsports.com/sport/list/corkball.htm",2
Rounders,"played between two teams with a bat and ball, like baseball.","https://www.topendsports.com/sport/list/rounders.htm",2
British Baseball,"a bat-and-ball game played in Wales and England similar to rounders.","https://www.topendsports.com/sport/list/baseball-british.htm",2
Over-the-Line,"is a bat-and-ball sport related to baseball and softball with just 3 people per team. Unlike the other sports, the batter and pitcher are on the same team.","https://www.topendsports.com/sport/list/over-the-line.htm",2
Softball,"a sport like baseball though the ball is pitched underhand, played mostly by women. Variations include fastpitch and slowpitch.","https://www.topendsports.com/sport/list/softball.htm",2
Pesäpallo,"a Finnish variation of baseball, the major difference is that the ball is pitched vertically.","https://www.topendsports.com/sport/list/pesapallo.htm",2
Brännboll,"a Scandinavian game that has similarities to rounders, but with no pitcher.","https://www.topendsports.com/sport/list/brannboll.htm",2
Palant,"a Polish sport with lots of similarities to modern baseball played using a wooden stick and a rubber ball.","https://www.topendsports.com/sport/list/palant.htm",2
Kickball,"a type of baseball where the players kick the ball, instead of striking it with a bat.","https://www.topendsports.com/sport/list/kickball.htm",2
Lapta,"a Russian traditional bat and ball game.","https://www.topendsports.com/sport/list/lapta.htm",2
Oină,"a Romanian traditional sport, similar in many ways to Baseball and Lapta played outdoors by two teams of 11 players, taking turns either batting or catching.","https://www.topendsports.com/sport/list/oina.htm",2
Pärk (or Paerk),"an outdoor team sport that originated in Gotland, where players hit or kick the ball to gain field position.","https://www.topendsports.com/sport/list/paerk.htm",2
Danish Longball,"a bat and ball game developed in Denmark, like a hybrid of baseball and cricket.","https://www.topendsports.com/sport/list/danish-longball.htm",2
Wiffle Ball,"a variation of baseball designed for indoor or outdoor play in confined areas, using a perforated, light-weight, rubbery plastic ball and a long, plastic yellow bat.","https://www.topendsports.com/sport/list/wiffleball.htm",2
Fuzzball,"a street version of baseball played in some regions of the USA.","https://www.topendsports.com/sport/list/fuzzball.htm",2
Stoolball,"a team sport played on a circular grass field, possibly the precursor to cricket and baseball.","https://www.topendsports.com/sport/list/stoolball.htm",2
Indoor Base Ball,"indoor variation of baseball that was a precusor to modern softball [extrinct sport].(not played anymore)","https://www.topendsports.com/sport/extinct/indoor-base-ball.htm",2
Town Ball,"a bat-and-ball sport with similarities to rounders which was played in North America during 18th and 19th century. The sport was a precursor to the development of modern day baseball. (not played anymore)","https://www.topendsports.com/sport/extinct/town-ball.htm",2
Knurr and spell,"an old English game game from Yorkshire in England, using a stick to hit a ball launched from a trap (not played anymore)","https://www.topendsports.com/sport/extinct/knurr-and-spell.htm",2
