sub_sport_category,description,reference_website,level
Beach Basketball,"a version of basketball played on sand with two teams of three players.","https://www.topendsports.com/sport/list/basketball-beach.htm",2
Beach Handball,"a variation of Team Handball, played on sand instead of indoors. This sport is sometimes called Sandball.","https://www.topendsports.com/sport/list/handball-beach.htm",2
Beach Netball,"netball played in the sand on a half court.","https://www.topendsports.com/sport/list/netball-beach.htm",2
Beach Ultimate,"a version of ultimate frisbee played at the beach","https://www.topendsports.com/sport/list/ultimate-beach.htm",2
Beach Tennis,"a sport which has elements from tennis and volleyball, and played on the beach.","https://www.topendsports.com/sport/list/tennis-beach.htm",2
Matkot,"a beach paddle sport from Israel that is very similar to beach tennis.","https://www.topendsports.com/sport/list/matkot.htm",2
Beach Woodball,"a version of Woodball played on sand that involves using a mallet to pass a ball through gates.","https://www.topendsports.com/sport/list/woodball-beach.htm",2
Sandboarding,"involves sliding on the sand while standing on a board.","https://www.topendsports.com/sport/list/sandboarding.htm",2
Surfing,"participants stand on a surfboard, and use the waves for propulsion.","https://www.topendsports.com/sport/list/surfing.htm",2
Surf Lifesaving,"competitions consist of performing various tasks performed by lifeguards on the beach.","https://www.topendsports.com/sport/list/surflifesaving.htm",2
Open Water Swimming,"competitive swimming races conducted over various distances (10km at the Olympics) held in rivers, lakes and oceans.","https://www.topendsports.com/sport/list/swimming-open-water.htm",2
Beach Water Polo,"an open water version of water polo played on a smaller field with four players per team.","https://www.topendsports.com/sport/list/water-polo-beach.htm",2
