sub_sport_category,description,reference_website,level
Candlepin,"a type of bowling like tenpin bowling using candlepins and smaller balls","https://www.topendsports.com/sport/list/bowling-candlepin.htm",2
Duckpin,"a type of 10-pin bowling, though with smaller balls.","https://www.topendsports.com/sport/list/bowling-duckpin.htm",2
Five-pin,"a bowling variant from Canada with smaller balls and only 5 pins","https://www.topendsports.com/sport/list/bowling-five-pin.htm",2
Kegel,"is a German nine-pin bowling game played in Australia","https://www.topendsports.com/sport/list/bowling-kegel.htm",2
Nine Pin,"a variation of bowling with only 9 pins set up in a diamond pattern.","https://www.topendsports.com/sport/list/bowling-nine-pin.htm",2
Skittles,"a precursor to many bowling games, it is an indoor sport in a bowling alley, using one or more heavy balls to knock down nine skittles.","https://www.topendsports.com/sport/list/skittles.htm",2
Tenpin,"a player rolls a bowling ball along a wooden or synthetic lane to knock down pins.","https://www.topendsports.com/sport/list/bowling-tenpin.htm",2
Turkey Bowling,"a frozen turkey serves as a bowling ball and 10 plastic bottles of soft drinks or water are the bowling pins.","no reference website",2
Basque Bowling,"no description","no reference website",2
Finnish Skittles,"opposing players take turns to knock down their opponent's skittles by throwing a bat.","https://www.topendsports.com/sport/list/skittles-finnish.htm",2
Gorodki,"a folk sport from Russia, where competitors strike down a group of cylindrical wooden objects by throwing a bat.","https://www.topendsports.com/sport/list/bowling-gorodki.htm",2
Kubb,"a lawn game where the object is to knock over wooden blocks ('kubbs') by throwing wooden batons at them.","https://www.topendsports.com/sport/list/bowling-kubb.htm",2
Mölkky,"players use a wooden pin (also called "mölkky") to try to knock over wooden pins.","https://www.topendsports.com/sport/list/bowling-molkky.htm",2
Bunnock,"a kind of skittles game that is played with bones (commonly known as "Game of Bones")","https://www.topendsports.com/sport/list/bunnock.htm",2
Lagori,"from Southern India, this game involves a ball and a pile of flat stones. A member of one team throws a soft ball at a pile of stones to knock them over, then tries to restore the pile of stones while the opposing team throws the ball at them (also known as Lingocha).","https://www.topendsports.com/sport/list/lagori.htm",2
