sub_sport_category,description,reference_website,level
Wheelchair Basketball,"basically regular basketball played on a wheelchair.","https://www.topendsports.com/sport/list/basketball-wheelchair.htm",2
Wheelchair Rugby,"a full-contact indoor team sport conducted for players with disabilities.","https://www.topendsports.com/sport/list/rugby-wheelchair.htm",2
Wheelchair Rugby League,"a version of rugby league football but played using a wheelchair.","https://www.topendsports.com/sport/list/rugby-league-wheelchair.htm",2
AFL Wheelchair,"a wheelchair version of Australian Football, played between two teams of five.","https://www.topendsports.com/sport/list/football-afl-wheelchair.htm",2
Wheelchair Tennis,"a version of lawn tennis for those who have lower body disabilities.","https://www.topendsports.com/sport/list/tennis-wheelchair.htm",2
Wheelchair Curling,"a variation of curling in which athletes with a disability affecting their lower limbs use a wheelchair to play the sport.","https://www.topendsports.com/sport/list/curling-wheelchair.htm",2
Wheelchair Cricket,"a modified version of cricket for wheelchair athletes.","https://www.topendsports.com/sport/list/cricket-wheelchair.htm",2
Wheelchair Dancing,"all of the participants of a team perform dance routines while riding in a wheelchair.","https://www.topendsports.com/sport/list/dancing-wheelchair.htm",2
Powerchair Football,"indoor football for people in wheelchairs.","https://www.topendsports.com/sport/list/powerchair-football.htm",2
Power Hockey,"like ice hockey but played in an electric wheelchair on a basketball court.","https://www.topendsports.com/sport/list/hockey-power.htm",2
Sledge Hockey,"ice hockey on double-blade sledges for people with physical disabilities on the lower body.","https://www.topendsports.com/sport/list/hockey-sledge.htm",2
Amputee Football,"a version of Association Football for  players with lower extremity amputations.","https://www.topendsports.com/sport/list/football-amputee.htm",2
Sitting Volleyball,"also known as Paralympic volleyball, it is volleyball played while sitting on the ground.","https://www.topendsports.com/sport/list/volleyball-sitting.htm",2
Wheelchair Fencing,"a version of fencing in which disabled athletes fight with thin swords while sitting in wheelchairs that are tightly fastened to the floor.","https://www.topendsports.com/sport/list/fencing-wheelchair.htm",2
Para Badminton,"versions of badminton for disabled athletes, either standing, in a wheelchair, or played while sitting.","https://www.topendsports.com/sport/list/badminton-para.htm",2
Paratriathlon,"involves a 750 m swim, a 20 km bike with handcycles, bicycles or tandems with a guide, and a 5 km wheelchair or running race.","https://www.topendsports.com/sport/list/triathlon-para.htm",2
Para-Cycling,"cycle racing events using adaptations for disabled athletes, such as tandem bikes and hand-cycling.","https://www.topendsports.com/sport/list/cycling-para.htm",2
Para-Climbing,"Sport Climbing for disabled athletes.","https://www.topendsports.com/sport/list/para-climbing.htm",2
Para Table Tennis,"a version of table tennis adapted for disabled athletes, such a physical disability, intellectual disability or wheelchair users.","https://www.topendsports.com/sport/list/table-tennis-para.htm",2
Powerlifting,"Paralympic sport","https://www.topendsports.com/events/paralympics/sports/powerlifting.htm",2
Boccia,"a ball sport similar to bocce, bowls, and pentanque for athletes with physical disabilities.","https://www.topendsports.com/sport/list/boccia.htm",2
Deaf Basketball,"basketball that is played by the hearing impaired. Players use sign language to communicate with each other including the refs.","https://www.topendsports.com/sport/list/basketball-deaf.htm",2
Goalball,"a Paralympic sport for blind athletes using a ball with bells.","https://www.topendsports.com/sport/list/goalball.htm",2
5-a-side football (blind football),"one of the versions of Paralympic Football is a 5-a-side game for blind or visually impaired Athletes.","https://www.topendsports.com/sport/list/football-blind.htm",2
Torball,"a team sport for the visually impaired with an inflated ball with bells inside. The aim is to throw the ball through the opponent's goal line.","https://www.topendsports.com/sport/list/torball.htm",2
Blind Cricket,"a modified version of cricket for blind athletes with a larger ball with bells inside.","https://www.topendsports.com/sport/list/cricket-blind.htm",2
Showdown,"a game for blind and visually impaired people similar to air hockey.","https://www.topendsports.com/sport/list/showdown.htm",2
Swish,"a version of table tennis for blind athletes.","https://www.topendsports.com/sport/list/table-tennis-swish.htm",2
Club Throw,"a track and field disabled sports event, the objective is to throw a wooden club as far as possible.","https://www.topendsports.com/sport/list/throw-club.htm",2
Softball Throw,"a track and field discipline in which you throw the ball as far as possible, mostly used in competitions for disadvantaged groups as a substitute for other technical throwing events.","https://www.topendsports.com/sport/list/throw-softball.htm",2
Racerunning,"a track and field racing sport for disabled athletes, in which they use a specially designed tricycle.","https://www.topendsports.com/sport/list/racerunning.htm",2
Ice Sledge Racing,"a winter Paralympic sport in which contestants use a lightweight sledge and propel themselves using two poles.","https://www.topendsports.com/sport/list/ice-sledge-racing.htm",2
Wheelchair Racing,"a type of racing in which athletes with physical disabilities compete with the help of a wheelchair.","https://www.topendsports.com/sport/list/wheelchair-racing.htm",2
Wheelchair Slalom,"navigating in a wheelchair through a course with challenging obstacles.","https://www.topendsports.com/sport/list/wheelchair-slalom.htm",2
