sub_sport_category,description,reference_website,level
Bikejoring,"a single dog or a team of harnessed dogs pull along a rider on a bike.","https://www.topendsports.com/sport/list/bikejoring.htm",2
Canicross,"a variant of cross country running in which runners have to complete the course accompanied by their dogs.","https://www.topendsports.com/sport/list/canicross.htm",2
Disc Dog,"dog frisbee competitions of distance catching and choreographed freestyle catching. This is competed by a dog and his human partner. The goal is to catch the Frisbee.","https://www.topendsports.com/sport/list/disc-dog.htm",2
Dock Jumping,"dogs jump from a dock into a body of water in an attempt to achieve the greatest distance or height.","no reference website",2
Dog Agility,"dogs have to navigate through a course that has various types of obstacles under the direction of a handler. (not a sport)","https://www.topendsports.com/sport/list/dog-agility.htm",2
Dog Racing,"greyhounds chase a lure around a track. (not a sport)","https://www.topendsports.com/sport/list/dog-racing.htm",2
Dog Sled Racing,"teams of sled dogs pull a sled with a driver. Also called Dog Mushing.","https://www.topendsports.com/sport/list/dog-sledding.htm",2
Flyball,"a relay race between two teams of four dogs. Each dog must jump over four hurdles, retrieve a ball by triggering a flyball box pedal and then return over the hurdles to the starting line. (not a sport)","no reference website",2
Greyhound Hare Coursing,"hares are chased by greyhounds using their sight rather than scent. (not a sport)","https://www.topendsports.com/sport/list/hare-coursing.htm",2
Musical Canine Freestyle,"a modern dog sport that is a mixture of obedience training, tricks, and dance that allows for creative interaction between dogs and their owners.","no reference website",2
Skijøring,"being pulled either by a dog, a horse or a motor-operated vehicle while on skis.","https://www.topendsports.com/sport/list/skijoring.htm",2
