sub_sport_category,description,reference_website,level
Arena Polo,"a minified version of polo that is played on horseback on a field much smaller in size and enclosed by walls on all sides.","https://www.topendsports.com/sport/list/polo-arena.htm",2
Beach Polo,"polo on horseback though played on a sand field with sideboards so the ball is always in play.","https://www.topendsports.com/sport/list/polo-beach.htm",2
Buzkashi,"a Central Asian sport like polo in which riders on horses attempt to drag a goat carcass toward the goal. There is a variant known as kokpar which is quite similar.","https://www.topendsports.com/sport/list/buzkashi.htm",2
Cowboy Polo,"similar to regular Polo, though riders compete with western saddles, usually in a smaller arena and with an inflatable rubber medicine ball.","https://www.topendsports.com/sport/list/polo-cowboy.htm",2
Horseball,"The sport is like a combination of polo, rugby and basketball, played on horseback where a ball is carried and shot through a high net to score.","https://www.topendsports.com/sport/list/horseball.htm",2
Jereed,"a traditional Turkish team equestrian sport in which the objective is to throw blunt wooden javelins at players of the opposing team.","https://www.topendsports.com/sport/list/jereed.htm",2
Pato,"a cross between polo and basketball played on horseback. It is the national sport of Argentina.","https://www.topendsports.com/sport/list/pato.htm",2
Polo (Horse Polo),"a team sport played on horseback in which the objective is to hit a ball into a goal using a long-handled mallet.","https://www.topendsports.com/sport/list/polo-horse.htm",2
Snow Polo,"a variation of Polo on horseback that is played on compacted snow on flat ground or a frozen lake.","https://www.topendsports.com/sport/list/polo-snow.htm",2
Cricket on Horseback,"a short-lived sport where players attempted to play cricket while riding a horse. [historical sport]","https://www.topendsports.com/sport/extinct/cricket-horseback.htm",2
Dressage,"riders and horses perform from memory a series of predetermined events.","https://www.topendsports.com/sport/list/equestrian-dressage.htm",2
Eventing,"riders compete in three types of races, dressage, cross-country and show jumping, in a single competition.","https://www.topendsports.com/sport/list/equestrian-eventing.htm",2
Show Jumping,"riders on horseback attempt to jump cleanly through sets of obstacles within a specific time.","https://www.topendsports.com/sport/list/equestrian-show-jumping.htm",2
Cross-Country Equestrian,"horse riders are required to jump over 30 to 40 obstacles within a fixed time, incurring penalties for exceeding the allocated time or if a horse refuses to clear an obstacle.","https://www.topendsports.com/sport/list/equestrian-cross-country.htm",2
Endurance Riding,"an equestrian discipline where riders and horses compete in races over very long distances.","https://www.topendsports.com/sport/list/equestrian-endurance.htm",2
Equestrian Vaulting,"a gymnastics and dance discipline done on horseback.","https://www.topendsports.com/sport/list/equestrian-vaulting.htm",2
Reining,"equestrian riders guide their horses through a precise pattern of spins, circles and stops.","https://www.topendsports.com/sport/list/equestrian-reining.htm",2
Western Pleasure,"a horse show competition in which horses are evaluated for their manners and composure.","https://www.topendsports.com/sport/list/western-pleasure.htm",2
TREC,"a French equestrian sport in which the objective is to test both the horse and the rider in competitions consisting of three separate events.","https://www.topendsports.com/sport/list/equestrian-trec.htm",2
Gymkhana,"a multi-game equestrian event that is performed to display the talents of the horses and their riders.","https://www.topendsports.com/sport/list/gymkhana.htm",2
Horse Racing,"equestrian sport that involves jockeys riding horses or being pulled along by horses.","https://www.topendsports.com/sport/list/horse-racing.htm",2
Thoroughbred Racing,"horse racing sport that involves the racing of thoroughbred horses.","https://www.topendsports.com/sport/list/horseracing-thoroughbred.htm",2
Steeplechase,"a horse racing sport in which competitors on horsebacks race on a long-distance course that has several types of obstacles.","https://www.topendsports.com/sport/list/horseracing-steeplechase.htm",2
Carriage Driving,"sports in which horses or ponies are hitched to a wagon, carriage, cart or sleigh by means of a harness.","https://www.topendsports.com/sport/list/driving-carriage.htm",2
Harness Racing,"horses trot or pace while pulling a driver in a sulky.","https://www.topendsports.com/sport/list/horseracing-harness.htm",2
Combined Driving,"a driver on a carriage pulled by horses takes part in three events: dressage, marathon and cones.","https://www.topendsports.com/sport/list/driving-combined.htm",2
Pleasure Driving,"a horse and carriage sport judged on a horse's manners, performance, quality and conformation.","https://www.topendsports.com/sport/list/driving-pleasure.htm",2
Chuckwagon Racing,"a chuckwagon is pulled by four thoroughbred horses around a track.","https://www.topendsports.com/sport/list/horseracing-chuckwagon.htm",2
Scurry Driving,"ponies pull a carriage with two riders around a track.","https://www.topendsports.com/sport/list/driving-scurry.htm",2
Skijøring,"being pulled either by a dog, a horse or a motor-operated vehicle while on skis.","https://www.topendsports.com/sport/list/skijoring.htm",2
Horse Pulling,"one or two horses harnessed to a weighted sled pull for the greatest distance.","https://www.topendsports.com/sport/list/horse-pulling.htm",2
Chariot Racing,"horses pull along a driver riding a chariot (extinct sport).","https://www.topendsports.com/sport/extinct/chariot-racing.htm",2
Barrel Racing,"a rodeo event where participants and horses complete a clover-leaf pattern around barrels.","https://www.topendsports.com/sport/list/rodeo-barrel-racing.htm",2
Chilean Rodeo,"two riders on horseback try to stop a calf.","https://www.topendsports.com/sport/list/rodeo-chilean.htm",2
Cutting,"an American western style sport of the equestrian discipline in which the objective for a rider on a horseback is to separate a few cows from its herd and prevent it from returning.","https://www.topendsports.com/sport/list/cutting.htm",2
Campdrafting,"a sport from from Australia where a rider on horseback attempts to cut out a cattle from its herd and drive it into a pen.","https://www.topendsports.com/sport/list/campdrafting.htm",2
Roping,"a rodeo event where calves or cows are caught by throwing around it a rope with a loop as quickly as possible.","https://www.topendsports.com/sport/list/rodeo-roping.htm",2
Tent Pegging,"the objective for a horse rider is to pierce, pick-up and carry a target, with a lance or a sword, as they gallop towards the target.","https://www.topendsports.com/sport/list/tent-pegging.htm",2
Team Penning,"the objective for each three-rider team on horseback is to separate three specific cattle from a herd.","https://www.topendsports.com/sport/list/team-penning.htm",2
Toros Coleados,"involves chasing down a bull while riding on horseback (also called Bull-Tailing).","https://www.topendsports.com/sport/list/toros-coleados.htm",2
Cowboy Mounted Shooting,"involves shooting at targets while riding a horse.","https://www.topendsports.com/sport/list/shooting-cowboy-mounted.htm",2
Horseback Archery,"shooting arrows at targets while riding a horse (not common)","https://www.topendsports.com/sport/list/archery-horseback.htm",2
Equestrian Fencing,"sword fighting on horseback (extinct)","https://www.topendsports.com/sport/extinct/equestrian-fencing.htm",2
Mounted Orienteering,"participants navigate from start to end through control points, usually on horseback.","https://www.topendsports.com/sport/list/orienteering-mounted.htm",2
Jousting,"competitors on horsebacks with long lances try to knock each other down (historical sport)","https://www.topendsports.com/sport/extinct/jousting.htm",2
Quintain,"competitors on horsebacks with long lances try to hit a stationary object hanging from a pole (historical sport)","https://www.topendsports.com/sport/extinct/quintain.htm",2
Horseback Boxing,"competitors fight each other while riding on the back of a horse. (unusual historical sport)","https://www.topendsports.com/sport/unusual/horseback-boxing.htm",2
Horseshoes,"players toss horseshoes at stakes in the ground.","https://www.topendsports.com/sport/list/horseshoes.htm",2
Hobby Horsing,"participants simulate traditional equestrian events while riding a simple object resembling a horse's head mounted on a stick.","https://www.topendsports.com/sport/unusual/hobby-horsing.htm",2
