sub_sport_category,description,reference_website,level
Canoe Slalom,"a kayaking and canoeing sport in which athletes use a kayak or canoe to navigate through a whitewater course that consists of hanging gates on river rapids.","https://www.topendsports.com/sport/list/canoe-slalom.htm",2
Wildwater Canoe,"kayaks or canoes are used to negotiate a natural stretch of rapids on a river as fast as possible.","https://www.topendsports.com/sport/list/canoe-wildwater.htm",2
Canoe Freestyle / Playboating,"a whitewater sport in which athletes on kayaks or canoes perform various moves in a fixed place called the playspot.","https://www.topendsports.com/sport/list/canoe-freestyle.htm",2
Canoeing,"paddle sport in which the rider kneels or sits facing forward in a canoe.","https://www.topendsports.com/sport/list/canoeing.htm",2
Canoe Sprint,"sprint canoe racing on flat water over distances from 200m to 5000m.","https://www.topendsports.com/sport/list/canoe-sprint.htm",2
Outrigger Canoeing,"racing using a type of canoe featuring one or more lateral support floats known as outriggers, which are fastened to one or both sides of the main hull.","https://www.topendsports.com/sport/list/canoeing-outrigger.htm",2
Ice Canoeing,"a team sport in which a five-member crew completes a course, in which riders have to push their canoe on the frozen parts of the river as well as row in the water.","https://www.topendsports.com/sport/list/canoeing-ice.htm",2
Canoe Polo,"like polo on water, the objective is to score by throwing or hitting a ball through a goal suspended two meters above the water.","https://www.topendsports.com/sport/list/polo-canoe.htm",2
Standup Paddleboarding,"a person stands on a board and uses a paddle to propel themselves through the water.","https://www.topendsports.com/sport/list/paddleboarding-standup.htm",2
Rafting,"the objective is to navigate downstream on river rapids using an inflated raft.","https://www.topendsports.com/sport/list/rafting.htm",2
Dragon Boat Racing,"a paddling sport using a long boat with many paddlers.","https://www.topendsports.com/sport/list/dragon-boat-racing.htm",2
Canoe Marathon," athletes paddle a kayak or canoe over a long distance, often with out-of-water sections.","https://www.topendsports.com/sport/list/canoe-marathon.htm",2
Rowing,"a sport in which competitors propel a boat using oars.","https://www.topendsports.com/sport/list/rowing.htm",2
Surfboat Rowing,"a team of riders compete using surfboats on a course out and back through the surf.","https://www.topendsports.com/sport/list/surflifesaving-surfboat.htm",2
Sweep Rowing,"each rower has just one oar which is maneuvered with both hands to propel the boat.","https://www.topendsports.com/sport/list/rowing-sweep.htm",2
Sculling Rowing,"a form of rowing, in which a person uses oars, one in each hand, to propel a single or double scull rowing boat.","https://www.topendsports.com/sport/list/rowing-skull.htm",2
Coastal (Offshore) Rowing,"a type of rowing performed on open water, requiring wider and more robust boats than those used on rivers and lakes.","https://www.topendsports.com/sport/list/rowing-coastal.htm",2
Beach Sprint Rowing,"short rowing race in the open water also involving a beach sprint.","https://www.topendsports.com/sport/list/rowing-beach-sprint.htm",2
Ocean Rowing,"involves rowing races across entire seas and oceans.","https://www.topendsports.com/sport/list/rowing-ocean.htm",2
Kayaking,"boat races using a small, narrow boat propelled using a double-bladed paddle.","https://www.topendsports.com/sport/list/kayaking.htm",2
Sprint Kayaking,"sprint kayak racing on flat water over distances from 200m to 1000m.","https://www.topendsports.com/sport/list/kayaking-sprint.htm",2
Extreme Canoe Slalom,"a fast-paced kakayaking sport in which four athletes race each other on a whitewater course through up and downstream gates whilst also completing an eskimo roll.","https://www.topendsports.com/sport/list/canoe-extreme-slalom.htm",2
Surf Kayaking,"involves surfing in the ocean using a kayak.","https://www.topendsports.com/sport/list/kayaking-surf.htm",2
Paddleboarding,"a person kneels on a board and uses their arms to propel themselves through the water.","https://www.topendsports.com/sport/list/paddleboarding.htm",2
Indoor Rowing,"competitions performed on a rowing machine that simulates the on-water action.","https://www.topendsports.com/sport/list/rowing-indoor.htm",2
Snowboating,"a winter sport in which athletes use a kayak to descend down a slope covered with snow (also called Snowkayaking)","https://www.topendsports.com/sport/list/kayaking-snow.htm",2
