sub_sport_category,description,reference_website,level
Inline Skating,"also known as roller blading, a variety of sports performed while wearing skates with two to five polyurethane wheels arranged in a single line.","https://www.topendsports.com/sport/list/inline-skating.htm",2
Vert Skating,"acrobatic inline or roller skating sport performed on a ramp.","https://www.topendsports.com/sport/list/skating-vert.htm",3
Aggressive skating,"a form of inline skating executed on specially designed inline skates with a focus on grinding and spins.","https://www.topendsports.com/sport/list/inline-skating-aggressive.htm",3
Freestyle Slalom Skating,"involves performing tricks around a straight line of equally spaced cones while wearing inline skates.","https://www.topendsports.com/sport/list/inline-skating-slalom.htm",3
Inline hockey,"similar to ice hockey, players move around on a wooden or concrete surface wearing inline skates.","https://www.topendsports.com/sport/list/hockey-inline.htm",3
Inline speed skating,"athletes use inline skates to race around tracks.","https://www.topendsports.com/sport/list/speed-skating-inline.htm",3
Roller Soccer,"indoor sport, playing soccer while wearing inline skates.","https://www.topendsports.com/sport/list/soccer-roller.htm",3
Skate Cross,"no description","no reference website",3
Inline Alpine Skating,"no description","no reference website",3
Roller Skating,"there is a range of sports performed while wearing roller skates (quad skates).","https://www.topendsports.com/sport/list/roller-skating.htm",2
Artistic Roller Skating,"is a sport that consists of a number of events (Figures, Dance, Freestyle and Precision Teams) usually accomplished on quad skates, though sometimes inline skates are used.","https://www.topendsports.com/sport/list/roller-skating-artistic.htm",3
Roller Derby,"two teams compete while skating in the same direction around a track.","https://www.topendsports.com/sport/list/roller-derby.htm",3
Roll Ball,"like handball on roller skates, players must bounce the ball while moving and score goals by shooting the ball into the opposing team's goal.","https://www.topendsports.com/sport/list/rollball.htm",3
Roller Speed Skating,"no description","no reference website",3
Drafting,"no description","no reference website",3
Jam Skating,"no description","no reference website",3
Road Skating,"athletes use either inline or roller skates and ride on road courses.","https://www.topendsports.com/sport/list/skating-road.htm",2
Roller Skiing,"races are conducted on tarmac road courses with athletes wearing snow skis with wheels attached.","https://www.topendsports.com/sport/list/skiing-roller.htm",2
Dry Ski Slope,"no description","no reference website",3
Grass Skiing,"involves skiing on grass-covered slopes on skis with wheels.","https://www.topendsports.com/sport/list/skiing-grass.htm",3
Indoor Ski Slope,"no description","no reference website",3
Roller Cross-Country Skiing,"no description","no reference website",3
Roller Alpine Skiing,"no description","no reference website",3
Skateboarding,"competitions involving tricks or races while standing on a flat board with rollers attached at the bottom.","https://www.topendsports.com/sport/list/skateboarding.htm",2
Park Skateboarding,"skaters perform tricks in on a course like a familiar skate park containing bowls and pools in a complex combination with ramps and course bends.","https://www.topendsports.com/sport/list/skateboarding-park.htm",3
Street Skateboarding,"skaters perform tricks on a street-like course with stairs, handrails, curbs, benches, walls, and slopes.","https://www.topendsports.com/sport/list/skateboarding-street.htm",3
Longboarding (downhill),"a skateboarding sport in which athletes use a longboard skateboard to compete in downhill races.","https://www.topendsports.com/sport/list/skateboarding-longboard.htm",3
Freestyle Skateboarding,"performing tricks with a skateboard while flat ground skateboarding.","https://www.topendsports.com/sport/list/skateboarding-freestyle.htm",3
Skateboarding Trick,"no description","no reference website",3
Vert Skateboarding,"acrobatic inline or roller skating sport performed on a ramp.","https://www.topendsports.com/sport/list/skateboarding-vert.htm",3
Mountainboarding,"an action board sport like a snowboard with wheels or a cross-country skateboard.","https://www.topendsports.com/sport/list/skateboarding-vert.htm",3
Streetluge,"participants race downhill feet first on a sort of modified skateboard.","https://www.topendsports.com/sport/list/luge-street.htm",3
Kite Landboarding,"using a kite and wind power to manoeuver a huge skateboard-type board over land.","https://www.topendsports.com/sport/list/kite-landboarding.htm",3
Scootering,"doing tricks, over obstacles and terrains, on a scooter.","https://www.topendsports.com/sport/list/scootering.htm",2
