sub_sport_category,description,reference_website,level
Freestyle,"in these events competitors can swim using any stroke of their choice.","https://www.topendsports.com/sport/list/swimming-freestyle.htm",2
Backstroke,"a swimming stroke performed on the back with the arms lifted alternately out of the water in a backward circular motion and the legs extended and kicking.","https://www.topendsports.com/sport/list/swimming-backstroke.htm",2
Breaststroke,"one of the major swimming strokes, performed with the swimmer with his chest forward and facing towards to bottom of the pool.","https://www.topendsports.com/sport/list/swimming-breaststroke.htm",2
Butterfly,"one of the major swimming stroke styles, swum on the breast, with both arms moving simultaneously, accompanied by a dolphin kick.","https://www.topendsports.com/sport/list/swimming-butterfly.htm",2
Relay Swimming,"a swimming race in which teams of four race consecutively.","https://www.topendsports.com/sport/list/swimming-relays.htm",2
Open Water Swimming,"competitive swimming races conducted over various distances (10km at the Olympics) held in rivers, lakes and oceans.","https://www.topendsports.com/sport/list/swimming-open-water.htm",2
Finswimming,"an underwater swimming sport where athletes race against each other while wearing breathing apparatus.","https://www.topendsports.com/sport/list/finswimming.htm",2
Synchronized Swimming,"athletes perform synchronized dance routines to music while floating in the water.","https://www.topendsports.com/sport/list/synchronized-swimming.htm",2
Ice Swimming,"competitive swimming races conducted in extremely cold water.","https://www.topendsports.com/sport/list/swimming-ice.htm",2
Underwater Swimming,"competitors are awarded points for each meter swum underwater, and for how long they stayed under water.","https://www.topendsports.com/sport/extinct/underwater-swimming.htm",2
Plunge for Distance,"an ex-Olympic sport in which participants dived into the water, aiming for the longest distance while remaining motionless.","https://www.topendsports.com/sport/extinct/plunge-for-distance.htm",2
Earthing,"a new sport which combines running and swimming over a short sprint distance.","https://www.topendsports.com/sport/new/earthing.htm",2
