sub_sport_category,description,reference_website,level
Underwater Football,"played in a swimming pool with snorkeling equipment, the aim is to maneuver a slightly negatively buoyant ball underwater (by carrying and passing) from one side of a pool to the other. Scoring is achieved by placing the ball in the gutter on the side of the pool.","https://www.topendsports.com/sport/list/underwater-football.htm",2
Underwater Hockey,"two teams of six push a puck along the bottom of a swimming pool. (also known as 'Octopush' or Water Hockey).","https://www.topendsports.com/sport/list/underwater-hockey.htm",2
Underwater Ice Hockey,"A variation of Ice Hockey played upside-down underneath frozen pools or ponds. Participants wear snorkeling equipment and wet suits and use the underside of the frozen surface as the playing area for a floating puck (also called sub-aqua ice hockey).","https://www.topendsports.com/sport/list/underwater-ice-hockey.htm",2
Underwater Orienteering,"individual and team events in which competitors wearing scuba diving equipment swim an underwater course following a route marked on a map prepared by the competition organizers, using a compass and a counter meter to measure the distance covered.","https://www.topendsports.com/sport/list/underwater-orienteering.htm",2
Underwater Photography,"teams of competitors using using scuba gear and using a digital underwater camera dive and photograph the same saltwater ocean sites at the same time over a two-day period, with the submitted digital images assessed to find the winner.","https://www.topendsports.com/sport/list/underwater-photography.htm",2
Underwater Rugby,"two teams compete for a slightly negatively buoyant ball (filled with saltwater) and score by placing it into the opponents' goal (heavy metal bucket) at the bottom of a swimming pool.","https://www.topendsports.com/sport/list/underwater-rugby.htm",2
Underwater Target Shooting,"competitors free dive in a swimming pool, using spearguns to fire at targets.","https://www.topendsports.com/sport/list/underwater-target-shooting.htm",2
Aquathlon (Underwater Wrestling),"an underwater sport where two competitors wearing masks and fins wrestle underwater in an attempt to remove a ribbon from each other's ankle band.","https://www.topendsports.com/sport/list/aquathlon.htm",2
Freediving,"underwater diving which completely relies on the diver’s capability to hold its breath.","https://www.topendsports.com/sport/list/free-diving.htm",2
Sport Diving,"aspects of scuba diving are performed in a swimming pool.","https://www.topendsports.com/sport/list/scuba-diving.htm",2
Underwater Swimming,"competitors were awarded points for each meter swum underwater, and for how long they stayed under water. [Extinct Sport]","https://www.topendsports.com/sport/extinct/plunge-for-distance.htm",2
Plunge for Distance,"an ex-Olympic sport in which participants dived into the water, aiming for the longest distance while remaining motionless. [Extinct Sport]","https://www.topendsports.com/sport/extinct/plunge-for-distance.htm",2
