top_sport_category,description,reference_website
Adventure Sports,"inherently risky sports such as high diving, skydiving, sport climbing.", "https://www.topendsports.com/sport/adventure-sports.htm"
Air Sports,"sports performed in the air, such as skydiving, air-racing and ballooning. See, some crossover with adventure sports.", "https://www.topendsports.com/sport/air-sports.htm"
Baseball Sports,"a bat and ball game in which the aim is to hit the ball and score runs by running around four bases.","https://www.topendsports.com/sport/list/baseball.htm"
Basketball Sports,"players attempt to shoot the ball through the hoop on the opponent’s court, moving the ball by throwing and dribbling.","https://www.topendsports.com/sport/list/basketball.htm"
Bowling Sports,"there are many variations of bowling or throwing a ball to knock down pins or get close to a target, such as the popular 10-pin bowling and boules.", "https://www.topendsports.com/sport/bowling-sports.htm"
Beach Sports,"sports played on sand such as beach volleyball, surf lifesaving, and surfing.", "https://www.topendsports.com/sport/beach-sports.htm"
Cricket Sports,"a team sport played on a rectangular pitch in the center of a large grass oval, two batters protect their wicket while the fielding team attempt to get them out. Forms include Test, One-Day and T20.","https://www.topendsports.com/sport/list/cricket.htm"
Cycling Sports,"sports involving bicycles.", "https://www.topendsports.com/sport/cycling-sports.htm"
Dance Sports,"dancing and other sports that incorporate dance-like movements to music.", "https://www.topendsports.com/sport/dance-sports.htm"
Dog Sports,"there are many physical activities that involve dogs, only some can be considered sports, such as dog agility, disc dog.", "https://www.topendsports.com/sport/dog-sports.htm"
Disabled Sports,"all of the Paralympic sports and wheelchair sports.", "https://www.topendsports.com/sport/disabled-sports.htm"
Football Sports,"there are many sports that are called 'football' such as American football, Association football (soccer), Rugby and Aussie Rules, but equally many variations of these such as beach and indoor soccer, touch rugby and flag football.","https://www.topendsports.com/sport/football-sports.htm"
Golf Sports,"there are may variations of the traditional game of golf, as well as many inspired by that popular game.", "https://www.topendsports.com/sport/golf-sports.htm"
Handball Sports,"a sport usually played indoors between teams of seven players, who pass a ball to throw it into the goal of the other team. Also known as Team Handball, Olympic Handball, European (Team) handball or Borden Ball. Variations include Beach Handball, Czech Handball and Field Handball.","https://www.topendsports.com/sport/list/handball.htm"
Horse Sports,"such as polo, equestrian and horse racing.", "https://www.topendsports.com/sport/horse-sports.htm"
Hybrid Sports,"combining the attributes of two or more sports to create a new sport, such as polocrosse, korfball and MMA.", "https://www.topendsports.com/sport/hybrid.htm"
Martial Arts,"such as the Olympic sports of judo, taekwondo and karate, and the multitude of wrestling sports.", "https://www.topendsports.com/sport/martial-arts/index.htm"
Mind Sports,"mostly questionable sports, mind sports include the very popular e-gaming and board games such as chess.", "https://www.topendsports.com/sport/mind-sports.htm"
Motorcycle Sports,"anything on a motorbike, such as enduro, speedway and motocross.", "https://www.topendsports.com/sport/motorcycle-sports.htm"
Motor Sports,"sports involving motorized vehicles.", "no reference website"
Multi Sports,"such as triathlon, biathlon and modern pentathlon.", "https://www.topendsports.com/sport/multi-sports.htm"
Modified Sports,"Shorter, Faster and More Exciting", "https://www.topendsports.com/sport/modified-sports.htm"
Phygital Sports,"bridging the world of the sporting physical and digital world", "https://www.topendsports.com/sport/phygital-sports.htm"
Roller Sports,"there are many sports performed on inline and roller skates.", "https://www.topendsports.com/sport/roller-sports.htm"
Racket Sports,"such as tennis, squash, badminton and table tennis.", "https://www.topendsports.com/sport/racquet-sports.htm"
Hockey Sports,"such as field hockey, ice hockey and roller hockey.", "https://www.topendsports.com/sport/hockey-sports.htm"
Paddling Sports,"watercraft sports in which you move using a paddle.", "https://www.topendsports.com/sport/paddle-sports.htm"
Romantic Sports,"sports you can do with a partner", "https://www.topendsports.com/sport/romantic-sports.htm"
Shooting Sports,"sports for all the different weapon types. There are many other target sports such as archery that is not listed.", "https://www.topendsports.com/sport/shooting-sports.htm"
Swimming,"the sport of propelling oneself through water using the limbs.", "https://www.topendsports.com/sport/list/swimming.htm"
Underwater Sports,"sports created for underwater environments such as freediving, and others that have been moved there from above, such as underwater hockey.", "https://www.topendsports.com/sport/underwater-sports.htm"
Volleyball-Type Sports,"sports like volleyball which involve hitting an object back and forth over a net.", "https://www.topendsports.com/sport/volleyball-sports.htm"
Weight Lifting Sports,"it is not just Olympic weight lifting, there are many others such as powerlifting, and lifting kettlebells and stones.", "https://www.topendsports.com/sport/weightlifting-sports.htm"
Wrestling Sports,"combat sport between two competitors involving grappling-type techniques.", "https://www.topendsports.com/sport/wrestling-sports.htm"
Walking Sports,"sports which involve walking, done at a slower pace.", "https://www.topendsports.com/sport/walking-sports.htm"
